Tipo Accion;Detalles Adicionales;Fecha;Hora
Accion;Se ingresó al modulo de registro de acciones y errores;26 de September de 2023;23:05:43
Accion;Se ingresó al modulo de registro de acciones y errores;26 de September de 2023;23:05:43
Accion;Se ingresó al modulo de registro de acciones y errores;26 de September de 2023;23:05:42
Accion;('Se listaron las reservaciones creadas para el hotel ', 'Valencia');26 de September de 2023;23:05:13
Accion;Se ingresó al modulo de Gestion de Reservaciones;26 de September de 2023;23:05:10
